,DL,UA,day
0,41.58649752010115,58.6996244227305,1
1,28.502395297074465,49.44214040687017,2
2,30.14194122382215,47.07891330258792,3
3,29.914836903701666,51.81040325979338,4
4,37.88324118207519,50.849268326870785,5
5,75.56520656901002,46.49312766432118,6
6,76.6488830302937,60.45358143698936,7
